,Fragment,class,count,msum,n_pcr,perc,mut_sum,mut_avg,tot_mut,perc_mutations,pcr_set,More_than_4,More_than_9,n,>4,>9,nclones_pcr,nclones,nclones_bp
0,F13,GOOD,7196,9084,1,79.21620431527961,518,20.72,525.0,98.66666666666669,0,498,396,524,95.0381679389313,75.57251908396947,5000.0,5000.0,67
1,F43,GOOD,8785,10520,1,83.50760456273764,373,20.72222222222222,378.0,98.67724867724868,0,369,333,375,98.4,88.8,7500.0,7500.0,147
2,F13,GOOD,7198,9088,2,79.20334507042254,518,20.72,525.0,98.66666666666669,0,499,396,524,95.22900763358778,75.57251908396947,5000.0,10000.0,133
3,F43,GOOD,15851,21656,2,73.1944957517547,373,20.72222222222222,378.0,98.67724867724868,0,373,373,375,99.46666666666668,99.46666666666668,7500.0,15000.0,294
4,F13,GOOD,7200,9090,3,79.20792079207921,518,20.72,525.0,98.66666666666669,0,499,398,524,95.22900763358778,75.95419847328245,5000.0,15000.0,200
5,F43,GOOD,17630,25516,3,69.09390186549615,373,20.72222222222222,378.0,98.67724867724868,0,373,373,376,99.20212765957449,99.20212765957449,7500.0,22500.0,441
6,F13,GOOD,9426,12250,4,76.9469387755102,518,20.72,525.0,98.66666666666669,0,515,467,524,98.2824427480916,89.12213740458014,5000.0,20000.0,267
7,F43,GOOD,20219,33522,4,60.3156136268719,373,20.72222222222222,378.0,98.67724867724868,0,373,373,377,98.93899204244032,98.93899204244032,7500.0,30000.0,588
8,F13,GOOD,11979,15934,5,75.17886280908749,518,20.72,525.0,98.66666666666669,0,519,499,524,99.04580152671755,95.22900763358778,5000.0,25000.0,333
9,F43,GOOD,20440,34297,5,59.5970493046039,373,20.72222222222222,378.0,98.67724867724868,0,373,373,377,98.93899204244032,98.93899204244032,7500.0,37500.0,735
10,F13,GOOD,17731,25644,6,69.14287942598658,518,20.72,525.0,98.66666666666669,0,523,519,524,99.80916030534353,99.04580152671755,5000.0,30000.0,400
11,F43,GOOD,21246,38808,6,54.74644403215832,373,20.72222222222222,378.0,98.67724867724868,0,373,373,377,98.93899204244032,98.93899204244032,7500.0,45000.0,882
12,F13,GOOD,19250,28546,7,67.4350171652771,518,20.72,525.0,98.66666666666669,0,524,519,524,100.0,99.04580152671755,5000.0,35000.0,467
13,F43,GOOD,21601,44780,7,48.23805270209915,373,20.72222222222222,378.0,98.67724867724868,0,374,373,377,99.20424403183024,98.93899204244032,7500.0,52500.0,1029
14,F13,GOOD,20663,31305,8,66.00543044242134,518,20.72,525.0,98.66666666666669,0,524,520,524,100.0,99.23664122137404,5000.0,40000.0,533
15,F43,GOOD,21414,48036,8,44.579065700724456,373,20.72222222222222,378.0,98.67724867724868,0,374,373,377,99.20424403183024,98.93899204244032,7500.0,60000.0,1176
16,F13,GOOD,21931,34089,9,64.33453606735311,518,20.72,525.0,98.66666666666669,0,524,520,524,100.0,99.23664122137404,5000.0,45000.0,600
17,F43,GOOD,21233,49492,9,42.901883132627496,373,20.72222222222222,378.0,98.67724867724868,0,374,373,377,99.20424403183024,98.93899204244032,7500.0,67500.0,1324
18,F13,GOOD,21931,34089,10,64.33453606735311,518,20.72,525.0,98.66666666666669,0,524,520,524,100.0,99.23664122137404,5000.0,50000.0,667
19,F43,GOOD,20747,51044,10,40.6453256014419,373,20.72222222222222,378.0,98.67724867724868,0,374,373,377,99.20424403183024,98.93899204244032,7500.0,75000.0,1471
20,F13,GOOD,22717,36026,11,63.05723644034864,518,20.72,525.0,98.66666666666669,0,524,521,524,100.0,99.42748091603052,5000.0,55000.0,733
21,F43,GOOD,19726,54505,11,36.19117512154848,373,20.72222222222222,378.0,98.67724867724868,0,375,373,377,99.46949602122017,98.93899204244032,7500.0,82500.0,1618
